,stock_number,stock_id,stock_name,stock_pinyin,stock_abbr
120,600159,sh600159,大龙地产,dalongdichan,dldc
121,600160,sh600160,巨化股份,juhuagufen,jhgf
122,600161,sh600161,天坛生物,tiantanshengwu,ttsw
123,600162,sh600162,香江控股,xiangjiangkonggu,xjkg
124,600163,sh600163,中闽能源,zhongminnengyuan,zmny
125,600166,sh600166,福田汽车,futianqiche,ftqc
126,600167,sh600167,联美控股,lianmeikonggu,lmkg
127,600168,sh600168,武汉控股,wuhankonggu,whkg
128,600169,sh600169,太原重工,taiyuanzhonggong,tyzg
129,600170,sh600170,上海建工,shanghaijiangong,shjg
130,600171,sh600171,上海贝岭,shanghaibeiling,shbl
131,600172,sh600172,黄河旋风,huanghexuanfeng,hhxf
132,600173,sh600173,卧龙地产,wolongdichan,wldc
133,600175,sh600175,退市美都,tuishimeidou,tsmd
134,600176,sh600176,中国巨石,zhongguojushi,zgjs
135,600177,sh600177,雅戈尔,yageer,yge
136,600178,sh600178,东安动力,dongandongli,dadl
137,600180,sh600180,瑞茂通,ruimaotong,rmt
139,600183,sh600183,生益科技,shengyikeji,sykj
140,600184,sh600184,光电股份,guangdiangufen,gdgf
141,600185,sh600185,格力地产,gelidichan,gldc
142,600186,sh600186,莲花健康,lianhuajiankang,lhjk
143,600188,sh600188,兖州煤业,yanzhoumeiye,yzmy
144,600189,sh600189,泉阳泉,quanyangquan,qyq
145,600190,sh600190,锦州港,jinzhougang,jzg
147,600192,sh600192,长城电工,changchengdiangong,ccdg
148,600193,sh600193,创兴资源,chuangxingziyuan,cxzy
149,600195,sh600195,中牧股份,zhongmugufen,zmgf
150,600196,sh600196,复星医药,fuxingyiyao,fxyy
151,600197,sh600197,伊力特,yilite,ylt
153,600199,sh600199,金种子酒,jinzhongzijiu,jzzj
154,600200,sh600200,江苏吴中,jiangsuwuzhong,jswz
155,600201,sh600201,生物股份,shengwugufen,swgf
156,600202,sh600202,哈空调,hakongtiao,hkt
157,600203,sh600203,福日电子,furidianzi,frdz
158,600206,sh600206,有研新材,youyanxincai,yyxc
159,600207,sh600207,安彩高科,ancaigaoke,acgk
160,600208,sh600208,新湖中宝,xinhuzhongbao,xhzb
162,600210,sh600210,紫江企业,zijiangqiye,zjqy
163,600211,sh600211,西藏药业,xizangyaoye,xzyy
164,600212,sh600212,江泉实业,jiangquanshiye,jqsy
165,600213,sh600213,亚星客车,yaxingkeche,yxkc
166,600215,sh600215,长春经开,changchunjingkai,ccjk
167,600216,sh600216,浙江医药,zhejiangyiyao,zjyy
168,600217,sh600217,中再资环,zhongzaizihuan,zzzh
169,600218,sh600218,全柴动力,quanchaidongli,qcdl
170,600219,sh600219,南山铝业,nanshanlvye,nsly
171,600220,sh600220,江苏阳光,jiangsuyangguang,jsyg
172,600222,sh600222,太龙药业,tailongyaoye,tlyy
173,600223,sh600223,鲁商发展,lushangfazhan,lsfz
175,600227,sh600227,圣济堂,shengjitang,sjt
176,600228,sh600228,返利科技,fanlikeji,flkj
177,600229,sh600229,城市传媒,chengshichuanmei,cscm
178,600230,sh600230,沧州大化,cangzhoudahua,czdh
179,600231,sh600231,凌钢股份,lingganggufen,lggf
180,600232,sh600232,金鹰股份,jinyinggufen,jygf
181,600233,sh600233,圆通速递,yuantongsudi,ytsd
182,600234,sh600234,山水文化,shanshuiwenhua,sswh
183,600235,sh600235,民丰特纸,minfengtezhi,mftz
184,600236,sh600236,桂冠电力,guiguandianli,ggdl
185,600237,sh600237,铜峰电子,tongfengdianzi,tfdz
186,600238,sh600238,海南椰岛,hainanyedao,hnyd
188,600240,sh600240,退市华业,tuishihuaye,tshy
190,600243,sh600243,青海华鼎,qinghaihuading,qhhd
191,600246,sh600246,万通发展,wantongfazhan,wtfz
193,600248,sh600248,陕西建工,shanxijiangong,sxjg
194,600249,sh600249,两面针,liangmianzhen,lmz
195,600250,sh600250,南纺股份,nanfanggufen,nfgf
196,600251,sh600251,冠农股份,guannonggufen,gngf
197,600252,sh600252,中恒集团,zhonghengjituan,zhjt
198,600256,sh600256,广汇能源,guanghuinengyuan,ghny
199,600258,sh600258,首旅酒店,shoulvjiudian,sljd
200,600259,sh600259,广晟有色,guangchengyouse,gcys
202,600261,sh600261,阳光照明,yangguangzhaoming,ygzm
203,600262,sh600262,北方股份,beifanggufen,bfgf
205,600266,sh600266,城建发展,chengjianfazhan,cjfz
206,600267,sh600267,海正药业,haizhengyaoye,hzyy
207,600268,sh600268,国电南自,guodiannanzi,gdnz
208,600269,sh600269,赣粤高速,ganyuegaosu,gygs
209,600271,sh600271,航天信息,hangtianxinxi,htxx
210,600272,sh600272,开开实业,kaikaishiye,kksy
211,600273,sh600273,嘉化能源,jiahuanengyuan,jhny
213,600276,sh600276,恒瑞医药,hengruiyiyao,hryy
214,600277,sh600277,亿利洁能,yilijieneng,yljn
215,600278,sh600278,东方创业,dongfangchuangye,dfcy
216,600279,sh600279,重庆港九,chongqinggangjiu,cqgj
217,600280,sh600280,中央商场,zhongyangshangchang,zysc
218,600281,sh600281,华阳新材,huayangxincai,hyxc
219,600282,sh600282,南钢股份,nanganggufen,nggf
220,600283,sh600283,钱江水利,qianjiangshuili,qjsl
221,600284,sh600284,浦东建设,pudongjianshe,pdjs
222,600285,sh600285,羚锐制药,lingruizhiyao,lrzy
223,600287,sh600287,江苏舜天,jiangsushuntian,jsst
224,600288,sh600288,大恒科技,dahengkeji,dhkj
227,600292,sh600292,远达环保,yuandahuanbao,ydhb
228,600293,sh600293,三峡新材,sanxiaxincai,sxxc
229,600295,sh600295,鄂尔多斯,eerduosi,eeds
230,600297,sh600297,广汇汽车,guanghuiqiche,ghqc
231,600298,sh600298,安琪酵母,anqijiaomu,aqjm
232,600299,sh600299,安迪苏,andisu,ads
235,600302,sh600302,标准股份,biaozhungufen,bzgf
236,600303,sh600303,曙光股份,shuguanggufen,sggf
237,600305,sh600305,恒顺醋业,hengshuncuye,hscy
238,600307,sh600307,酒钢宏兴,jiuganghongxing,jghx
239,600308,sh600308,华泰股份,huataigufen,htgf
240,600310,sh600310,桂东电力,guidongdianli,gddl
242,600312,sh600312,平高电气,pinggaodianqi,pgdq
243,600313,sh600313,农发种业,nongfazhongye,nfzy
244,600315,sh600315,上海家化,shanghaijiahua,shjh
245,600316,sh600316,洪都航空,hongdouhangkong,hdhk
246,600317,sh600317,营口港,yingkougang,ykg
247,600318,sh600318,新力金融,xinlijinrong,xljr
